Postal Code,Name,Poverty Estimate,Poverty Percent
IL,Rock Island County,"18,365",13.5
IL,St. Clair County,"35,007",13.8
IL,Saline County,"3,414",15.3
IL,Sangamon County,"24,310",12.8
IL,Schuyler County,778,11.7
IL,Scott County,525,10.8
IL,Shelby County,"1,879",8.9
IL,Stark County,558,10.8
IL,Stephenson County,"4,794",11.2
IL,Tazewell County,"9,695",7.6
IL,Union County,"2,282",14.0
IL,Vermilion County,"13,397",18.6
IL,Wabash County,"1,295",11.7
IL,Warren County,"1,670",10.7
IL,Washington County,"1,030",7.6
IL,Wayne County,"2,052",12.9
IL,White County,"1,993",15.4
IL,Whiteside County,"4,872",9.1
IL,Will County,"48,881",7.2
IL,Williamson County,"8,914",13.9
IL,Winnebago County,"40,305",14.6
IL,Woodford County,"2,281",6.2
IN,Indiana,"760,167",11.6
IN,Adams County,"4,154",11.8
IN,Allen County,"42,833",11.4
IN,Bartholomew County,"7,566",9.1
IN,Benton County,924,10.7
IN,Blackford County,"1,555",13.4
IN,Boone County,"3,547",5.2
IN,Brown County,"1,473",9.9
IN,Carroll County,"1,567",7.8
IN,Cass County,"3,912",10.7
IN,Clark County,"10,131",8.6
IN,Clay County,"2,535",9.8
IN,Clinton County,"3,124",10.0
IN,Crawford County,"1,646",15.6
IN,Daviess County,"3,582",10.9
IN,Dearborn County,"3,813",7.8
IN,Decatur County,"2,620",10.0
IN,De Kalb County,"3,779",8.8
IN,Delaware County,"20,399",19.4
IN,Dubois County,"2,799",6.7
IN,Elkhart County,"19,761",9.8
IN,Fayette County,"3,031",13.5
IN,Floyd County,"8,922",11.5
IN,Fountain County,"1,781",10.9
IN,Franklin County,"1,732",7.7
IN,Fulton County,"2,364",12.0
IN,Gibson County,"3,050",9.3
IN,Grant County,"10,081",16.7
IN,Greene County,"3,569",11.2
IN,Hamilton County,"14,489",4.2
IN,Hancock County,"4,018",5.1
IN,Harrison County,"3,544",8.8
IN,Hendricks County,"8,692",5.2
IN,Henry County,"4,811",10.8
IN,Howard County,"9,390",11.5
IN,Huntington County,"3,187",9.1
IN,Jackson County,"4,489",10.3
IN,Jasper County,"2,697",8.3
IN,Jay County,"2,795",13.9
IN,Jefferson County,"3,798",12.7
IN,Jennings County,"2,941",10.8
IN,Johnson County,"10,537",6.7
IN,Knox County,"5,506",15.9
IN,Kosciusko County,"6,343",8.2
IN,Lagrange County,"3,498",8.8
IN,Lake County,"75,936",15.8
IN,La Porte County,"12,524",12.1
IN,Lawrence County,"5,275",11.8
